id,price
2015,60.0
2695,17.0
3176,90.0
3309,26.0
7071,42.0
9991,180.0
14325,70.0
16401,120.0
16644,90.0
17409,45.0
20858,129.0
21869,70.0
22415,98.0
22677,160.0
23834,65.0
24569,90.0
25653,90.0
26543,197.0
28156,70.0
28268,90.0
29279,130.0
30295,100.0
31440,44.0
33043,62.0
35642,55.0
36480,40.0
37004,25.0
37052,52.0
37836,39.0
38074,80.0
38296,80.0
40600,50.0
41217,43.0
41306,40.0
42742,36.0
42809,119.0
43123,90.0
44083,42.0
44423,56.0
46161,50.0
46172,48.0
47938,160.0
48955,70.0
52734,88.0
54952,55.0
55455,90.0
55853,55.0
57049,200.0
57209,80.0
57792,49.0
58041,55.0
58780,130.0
59249,90.0
60161,120.0
63052,37.0
63468,52.0
64245,44.0
64590,102.0
68142,29.0
68448,84.0
72079,80.0
73302,69.0
74614,185.0
80843,49.0
81049,155.0
81081,66.0
82893,70.0
83183,53.0
83568,70.0
83614,92.0
85560,75.0
86514,80.0
87549,48.0
89102,114.0
91290,60.0
106290,50.0
106331,82.0
107968,80.0
109658,60.0
111579,70.0
114763,130.0
115576,69.0
116832,75.0
117649,68.0
121888,125.0
125349,70.0
127708,89.0
128827,59.0
135097,96.0
139769,55.0
143605,55.0
145249,70.0
147946,31.0
149849,40.0
151249,81.0
153015,52.0
155048,100.0
156010,36.0
157546,88.0
157839,29.0
158890,100.0
159454,161.0
160517,65.0
161425,70.0
163287,29.0
163411,80.0
167189,49.0
168615,49.0
169603,59.0
169907,30.0
170582,23.0
170652,40.0
170974,35.0
171746,70.0
173153,80.0
174391,42.0
174547,96.0
174560,75.0
174576,96.0
174579,76.0
175667,46.0
176342,296.0
176355,244.0
176396,20.0
176852,50.0
177486,59.0
178347,75.0
179102,170.0
180440,39.0
181160,39.0
183206,64.0
183918,35.0
183988,100.0
183996,375.0
185960,29.0
186851,32.0
186908,45.0
186999,120.0
187206,25.0
187326,59.0
188565,86.0
188922,45.0
189288,100.0
190448,50.0
191023,49.0
192050,55.0
192052,79.0
192103,75.0
192499,49.0
193625,38.0
194374,65.0
194465,75.0
194546,75.0
194694,38.0
195467,89.0
196149,74.0
196285,50.0
197291,120.0
198584,38.0
198896,25.0
200125,89.0
201224,88.0
203634,125.0
204609,49.0
204617,50.0
205296,100.0
206021,35.0
206454,70.0
207740,195.0
208495,150.0
209649,200.0
210734,165.0
212348,55.0
214491,35.0
214518,51.0
214784,35.0
214855,45.0
220445,60.0
220808,45.0
221015,75.0
222784,69.0
223622,45.0
226925,50.0
227072,110.0
228964,95.0
229075,75.0
229099,30.0
229348,65.0
229363,65.0
229776,46.0
230611,65.0
230824,28.0
231220,30.0
231598,49.0
231853,55.0
233083,98.0
233453,32.0
233770,55.0
235766,39.0
236509,82.0
236552,46.0
237038,60.0
237359,60.0
237670,43.0
238275,85.0
238396,60.0
238569,58.0
239139,55.0
239314,30.0
240169,31.0
240735,35.0
242366,45.0
242794,100.0
242908,95.0
242927,95.0
242978,63.0
243057,175.0
243063,130.0
243081,120.0
243238,64.0
244425,55.0
244924,29.0
245744,150.0
245809,76.0
245827,79.0
248192,49.0
