id,accommodates,bathrooms,bedrooms,cleaning_fee,security_deposit,extra_people,guests_included,minimum_nights,host_is_superhost,Laptop_friendly_workspace,Family_kid_friendly,Host_greets_you,Smoking_is_allowed,distance_to_midcenter,size,host_has_profile_pic_0,host_has_profile_pic_1,instant_bookable_f,instant_bookable_t,is_business_travel_ready_f,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
47938,6,2.0,2.0,50.0,0.0,0.0,1,3,0,False,False,True,False,1.6882582098425951,150.0,0,1,1,0,1,0,0,1,0,0
48955,2,1.0,1.0,0.0,0.0,0.0,1,4,0,False,False,False,False,2.1014479963336714,22.0,0,1,1,0,1,0,1,0,0,0
52734,2,1.0,1.0,45.0,0.0,15.0,2,5,0,False,False,True,False,3.6700925709268675,110.0,0,1,1,0,1,0,0,1,0,0
54952,2,1.0,1.0,10.0,90.0,10.0,1,4,1,False,False,True,False,1.255606511025649,100.0,0,1,1,0,1,0,0,1,0,0
55455,2,1.0,1.0,25.0,0.0,0.0,1,2,0,False,False,False,False,0.14694267569695788,30.0,0,1,1,0,1,0,0,1,0,0
55853,2,1.0,1.0,100.0,500.0,10.0,1,60,0,False,False,True,False,7.864938591512499,22.0,0,1,1,0,1,0,0,1,0,0
57049,5,2.0,2.0,60.0,1500.0,20.0,4,3,1,False,False,True,False,3.099277984233919,130.0,0,1,1,0,1,0,0,1,0,0
57209,5,1.0,2.0,75.0,250.0,15.0,2,3,0,False,False,True,False,1.9155091525324006,50.0,0,1,0,1,1,0,0,1,0,0
57792,1,1.0,1.0,50.0,1200.0,10.0,1,2,0,False,False,False,False,11.74815426149383,10.0,0,1,0,1,1,0,1,0,0,0
58041,4,1.0,2.0,70.0,2400.0,0.0,1,90,0,False,False,True,False,1.2823719965938585,75.0,0,1,1,0,1,0,0,1,0,0
58780,4,1.5,2.0,39.0,300.0,15.0,1,5,1,False,False,False,False,2.156875869612035,22.0,0,1,1,0,1,0,0,1,0,0
59249,4,1.0,1.0,50.0,300.0,20.0,2,5,0,False,False,False,False,2.3421324927479374,22.0,0,1,0,1,1,0,0,1,0,0
60161,10,1.5,2.0,50.0,200.0,25.0,2,2,0,False,False,False,False,23.026854253581536,22.0,0,1,0,1,1,0,0,1,0,0
63052,2,1.0,1.0,25.0,400.0,10.0,1,6,0,False,False,True,False,6.021526971074265,14.0,0,1,1,0,1,0,0,1,0,0
63468,2,1.0,1.0,30.0,0.0,8.0,1,2,0,False,False,True,False,2.584494214518846,500.0,0,1,0,1,1,0,0,1,0,0
64245,6,1.0,3.0,15.0,150.0,18.0,1,3,0,False,False,False,False,2.947917804483083,22.0,0,1,1,0,1,0,0,1,0,0
64590,4,1.0,2.0,30.0,200.0,25.0,2,2,0,False,False,True,False,3.0656435944946274,72.0,0,1,1,0,1,0,1,0,0,0
68142,2,1.0,1.0,15.0,85.0,15.0,1,2,1,False,False,True,True,3.350014431334059,22.0,0,1,1,0,1,0,0,1,0,0
68448,4,1.0,0.0,0.0,200.0,10.0,2,3,0,False,False,True,False,3.3953105941099926,22.0,0,1,0,1,1,0,0,1,0,0
72079,2,1.0,1.0,60.0,200.0,20.0,2,3,0,False,False,True,False,5.994842026416832,46.0,0,1,0,1,1,0,1,0,0,0
73302,2,1.0,1.0,40.0,0.0,10.0,2,3,1,False,False,False,False,4.258061042524355,22.0,0,1,0,1,1,0,0,1,0,0
74614,6,1.0,3.0,45.0,0.0,25.0,4,4,0,False,False,False,False,1.9820934137420005,101.0,0,1,1,0,1,0,0,1,0,0
80843,2,1.0,1.0,30.0,250.0,10.0,1,2,1,False,False,True,False,8.919289949141328,22.0,0,1,0,1,1,0,1,0,0,0
81049,5,1.0,2.0,60.0,300.0,25.0,2,4,0,False,False,True,False,0.9907449844073449,108.0,0,1,1,0,1,0,0,1,0,0
81081,2,1.0,1.0,30.0,200.0,0.0,1,3,1,False,False,True,False,3.372796278805371,10.0,0,1,0,1,1,0,0,1,0,0
82893,2,1.0,1.0,30.0,0.0,0.0,1,3,0,False,False,True,False,2.0065606694442275,40.0,0,1,1,0,1,1,0,0,0,0
83183,2,1.0,1.0,20.0,0.0,20.0,1,2,0,False,False,True,False,2.2832297636481966,22.0,0,1,1,0,1,0,0,1,0,0
83568,3,2.0,1.0,30.0,0.0,20.0,2,3,0,False,False,False,False,2.9188538086773517,85.0,0,1,1,0,1,0,0,1,0,0
83614,5,1.5,2.0,36.0,190.0,19.0,1,1,1,False,False,False,False,3.04247547408998,90.0,0,1,0,1,1,0,1,0,0,0
85560,2,1.0,1.0,30.0,0.0,0.0,1,3,0,False,False,True,False,2.0210248291262864,15.0,0,1,0,1,1,0,1,0,0,0
86514,2,1.0,1.0,40.0,150.0,10.0,1,2,0,False,False,False,False,3.4737788841733153,22.0,0,1,1,0,1,0,0,1,0,0
87549,2,1.0,1.0,25.0,0.0,10.0,1,2,0,False,False,False,False,3.382145738178731,18.0,0,1,0,1,1,0,0,1,0,0
89102,4,1.0,1.0,40.0,0.0,15.0,2,10,1,False,False,False,False,2.3071536248245796,22.0,0,1,1,0,1,0,0,1,0,0
91290,3,1.0,1.0,20.0,0.0,0.0,1,2,0,False,False,False,False,3.6272294604715483,10.0,0,1,1,0,1,0,0,1,0,0
106290,3,1.0,1.0,45.0,125.0,30.0,2,1,0,False,False,True,False,3.109542620399315,22.0,0,1,1,0,1,0,0,1,0,0
106331,4,1.0,1.0,50.0,0.0,5.0,2,60,0,False,False,True,False,2.6306546891890923,55.0,0,1,1,0,1,0,1,0,0,0
107968,2,1.0,1.0,35.0,300.0,25.0,1,3,0,False,False,False,False,4.8301192130397475,22.0,0,1,1,0,1,0,0,1,0,0
109658,2,1.0,1.0,25.0,0.0,0.0,2,3,0,False,False,False,False,3.2195465487176125,22.0,0,1,1,0,1,0,1,0,0,0
111579,2,1.0,1.0,30.0,0.0,15.0,1,4,0,False,False,False,False,0.8573334952235391,40.0,0,1,1,0,1,1,0,0,0,0
114763,6,1.0,3.0,50.0,0.0,0.0,1,3,0,False,False,False,False,4.9890153992563,150.0,0,1,1,0,1,0,0,1,0,0
115576,4,1.0,2.0,45.0,0.0,15.0,2,2,0,False,False,False,False,6.855823439564541,22.0,0,1,1,0,1,0,0,1,0,0
116832,2,1.0,2.0,20.0,250.0,0.0,1,14,0,False,False,False,False,3.285371861459992,22.0,0,1,1,0,1,0,0,1,0,0
117649,4,1.0,1.0,25.0,0.0,20.0,2,60,0,False,False,True,False,3.3787711503715396,36.0,0,1,0,1,1,0,1,0,0,0
121888,4,1.0,1.0,40.0,0.0,10.0,2,7,0,False,False,False,True,3.996909138004918,21.0,0,1,1,0,1,0,1,0,0,0
125349,4,1.0,1.0,25.0,0.0,0.0,1,2,0,False,False,False,False,17.37607133832434,30.0,0,1,1,0,1,0,1,0,0,0
127708,2,1.0,1.0,40.0,0.0,15.0,2,2,1,False,False,False,False,0.4071464229294533,35.0,0,1,1,0,1,0,0,1,0,0
128827,3,1.0,1.0,30.0,0.0,20.0,2,2,0,False,False,False,False,3.9782410095441354,15.0,0,1,1,0,1,0,0,1,0,0
135097,6,1.0,3.0,88.0,0.0,9.0,3,1,0,False,False,True,False,4.468182950281152,80.0,0,1,0,1,1,0,0,1,0,0
139769,2,1.0,1.0,0.0,0.0,5.0,1,2,1,False,False,True,False,1.261872566600836,105.0,0,1,1,0,1,0,1,0,0,0
143605,4,1.0,1.0,40.0,200.0,15.0,2,30,0,False,False,True,False,4.981783919410534,40.0,0,1,1,0,1,0,0,1,0,0
145249,3,1.0,1.0,40.0,85.0,10.0,1,3,0,False,False,False,False,3.809317408102818,25.0,0,1,0,1,1,0,0,1,0,0
147946,2,1.0,1.0,0.0,250.0,0.0,1,183,0,False,False,False,False,3.183447852817809,22.0,0,1,1,0,1,0,0,1,0,0
149849,4,1.0,2.0,20.0,100.0,25.0,2,2,0,False,False,True,True,1.1036521448285161,16.0,0,1,0,1,1,0,0,1,0,0
151249,4,1.0,1.0,80.0,1000.0,20.0,1,1,0,False,False,True,False,2.702637857962542,70.0,0,1,1,0,1,0,0,1,0,0
153015,2,1.0,1.0,20.0,0.0,15.0,2,3,0,False,False,False,True,3.1487642249807255,30.0,0,1,1,0,1,0,1,0,0,0
155048,2,1.0,2.0,80.0,3000.0,100.0,2,180,0,False,False,False,False,3.317329932783993,12.0,0,1,1,0,1,0,0,1,0,0
156010,3,1.0,1.0,50.0,120.0,12.0,2,90,0,False,False,False,False,1.407697212109286,60.0,0,1,0,1,1,1,0,0,0,0
157546,4,1.0,2.0,40.0,0.0,40.0,4,5,0,False,False,True,False,3.0320096807038097,85.0,0,1,1,0,1,0,0,1,0,0
157839,4,1.0,1.0,20.0,100.0,15.0,1,1,1,False,False,False,False,4.414878324380933,40.0,0,1,1,0,1,0,1,0,0,0
158890,2,1.0,1.0,40.0,1000.0,0.0,6,10,0,False,False,False,False,3.160702578648231,50.0,0,1,1,0,1,0,1,0,0,0
159454,6,1.0,2.0,0.0,1000.0,0.0,1,2,1,False,False,False,False,7.850552468499222,22.0,0,1,1,0,1,1,0,0,0,0
160517,6,2.0,2.0,65.0,500.0,8.0,2,2,0,False,False,False,False,10.990513305926566,45.0,0,1,0,1,1,0,0,1,0,0
161425,5,1.0,2.0,60.0,200.0,25.0,2,2,0,False,False,True,False,2.925098319307562,22.0,0,1,0,1,1,0,1,0,0,0
163287,2,1.0,1.0,20.0,500.0,15.0,1,150,0,False,False,False,False,3.179964224220113,22.0,0,1,1,0,1,0,0,1,0,0
163411,4,1.0,2.0,40.0,200.0,15.0,2,5,0,False,False,True,False,3.2917057034687085,85.0,0,1,1,0,1,0,1,0,0,0
167189,2,1.0,1.0,15.0,0.0,0.0,2,3,0,False,False,False,False,3.0081548868232333,10.0,0,1,0,1,1,1,0,0,0,0
168615,3,1.0,1.0,20.0,0.0,10.0,1,2,0,False,False,True,False,7.265711900560885,50.0,0,1,1,0,1,0,1,0,0,0
169603,4,1.0,1.0,49.0,90.0,20.0,2,1,1,False,False,False,False,5.935662005102294,84.0,0,1,0,1,1,0,0,1,0,0
169907,2,1.5,1.0,15.0,150.0,0.0,1,1,0,False,False,False,False,7.527976485346679,22.0,0,1,0,1,1,0,1,0,0,0
170582,1,1.0,1.0,0.0,500.0,10.0,1,5,0,False,False,True,True,8.50269294509437,20.0,0,1,1,0,1,0,1,0,0,0
170652,2,1.0,1.0,50.0,150.0,20.0,1,5,0,False,False,True,False,2.861026570414135,22.0,0,1,1,0,1,0,0,1,0,0
170974,3,1.0,1.0,30.0,0.0,18.0,2,7,0,False,False,True,False,4.827445080166755,65.0,0,1,1,0,1,0,0,1,0,0
